SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME
2520958;BA;Nordeste;EMAP-R;True
2535610;BA;Nordeste;EMAP-R;True
2537400;MG;Sudeste;EMAP-R;True
2536471;SC;Sul;EMAD II;True
2539527;SP;Sudeste;EMAP;True
1626701;SE;Nordeste;EMAD I;True
1627244;SE;Nordeste;EMAP;True
1675974;SE;Nordeste;EMAD I;True
2491281;BA;Nordeste;EMAP-R;False
2130955;AP;Norte;EMAD I;True
2435845;BA;Nordeste;EMAD I;True
2537737;SP;Sudeste;EMAP-R;True
2519704;RR;Norte;EMAD I;False
2528509;MG;Sudeste;EMAP-R;True
2539500;PB;Nordeste;EMAP;False
2526166;MG;Sudeste;EMAP-R;True
2524805;PB;Nordeste;EMAP;False
2524147;PB;Nordeste;EMAP-R;True
2524716;AL;Nordeste;EMAP-R;False
2541165;MG;Sudeste;EMAP-R;False
2532409;PE;Nordeste;EMAD II;False
2534444;SE;Nordeste;EMAD II;True
2534460;SE;Nordeste;EMAP;True
2534916;SP;Sudeste;EMAP-R;True
2487160;MG;Sudeste;EMAP-R;False
2509970;MA;Nordeste;EMAP-R;True
2541025;MG;Sudeste;EMAP-R;True
2445638;GO;Centro-Oeste;EMAP;True
2449951;BA;Nordeste;EMAD I;True
2454289;BA;Nordeste;EMAD I;True
1595954;SP;Sudeste;EMAD I;False
1524054;SP;Sudeste;EMAD I;False
1477412;RO;Norte;EMAD I;False
2477718;BA;Nordeste;EMAP;False
2477696;BA;Nordeste;EMAD I;False
2497867;RS;Sul;EMAD I;True
2497875;RS;Sul;EMAP;True
2516373;GO;Centro-Oeste;EMAP-R;True
2535394;PI;Nordeste;EMAP-R;True
2536056;RO;Norte;EMAP;False
230049;MG;Sudeste;EMAD I;False
2140330;SE;Nordeste;EMAD I;True
2510782;CE;Nordeste;EMAD II;True
1646478;RJ;Sudeste;EMAD I;False
1709291;RJ;Sudeste;EMAD I;True
2532697;BA;Nordeste;EMAP-R;True
2433745;PB;Nordeste;EMAD II;True
2433753;PB;Nordeste;EMAP;False
323667;SP;Sudeste;EMAD I;True
2485176;PI;Nordeste;EMAP-R;True
1618857;BA;Nordeste;EMAD II;True
2493322;MG;Sudeste;EMAP-R;True
2485060;MA;Nordeste;EMAP-R;True
2496496;CE;Nordeste;EMAP-R;False
2491761;MA;Nordeste;EMAD I;True
2528169;PI;Nordeste;EMAP-R;False
2520990;BA;Nordeste;EMAP-R;False
2500752;PI;Nordeste;EMAP-R;True
2521830;PA;Norte;EMAD I;True
2540770;PI;Nordeste;EMAP-R;True
2531127;RN;Nordeste;EMAD II;True
2244357;MG;Sudeste;EMAD II;True
2338483;PE;Nordeste;EMAP;True
2338548;PE;Nordeste;EMAD II;False
2541211;SP;Sudeste;EMAP-R;False
2505517;PI;Nordeste;EMAP-R;True
2508672;PB;Nordeste;EMAP-R;False
2438984;BA;Nordeste;EMAP;False
2510480;RJ;Sudeste;EMAD II;True
2492679;MG;Sudeste;EMAP-R;False
2500337;PI;Nordeste;EMAP-R;True
2524309;PR;Sul;EMAD I;False
2525348;PB;Nordeste;EMAP-R;True
2332442;RJ;Sudeste;EMAD I;False
2534894;MG;Sudeste;EMAP-R;False
1619241;CE;Nordeste;EMAD I;False
1619268;CE;Nordeste;EMAP;True
2487381;RS;Sul;EMAP-R;False
2526921;BA;Nordeste;EMAP-R;False
2327384;BA;Nordeste;EMAD II;True
2327392;BA;Nordeste;EMAP;True
2377756;CE;Nordeste;EMAD I;False
2501449;PA;Norte;EMAD II;True
2501457;PA;Norte;EMAP;True
2510561;PB;Nordeste;EMAP-R;True
2513242;PB;Nordeste;EMAP-R;True
2515539;MG;Sudeste;EMAP-R;True
2476991;CE;Nordeste;EMAD I;False
2510170;MG;Sudeste;EMAP-R;True
1597078;SP;Sudeste;EMAD I;False
1597094;SP;Sudeste;EMAD I;False
428973;RS;Sul;EMAD I;False
1524992;CE;Nordeste;EMAD I;False
1525026;CE;Nordeste;EMAP;True
2516497;PB;Nordeste;EMAP-R;True
2513714;GO;Centro-Oeste;EMAD I;True
2516764;MG;Sudeste;EMAD I;False
2333864;SP;Sudeste;EMAD I;False
2503689;CE;Nordeste;EMAD II;False
2514516;BA;Nordeste;EMAD I;True
